typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,156,,,M,,842,,,642,,,H4,HS,True,8542,,,,C00,,0,0,,5,,37121.185,True,-1,,0.0,False,24.109,True,0.0,False,46633.0,0.0,46633.0,6,False,True
C,A,20160101,2016,52,2016,156,,,M,,842,,,208,,,H4,HS,True,8542,,,,C00,,0,0,,5,,863813.262,True,-1,,0.0,False,71.765,True,0.0,False,578192.0,0.0,578192.0,6,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,40,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,96.0,False,,False,529479.0,,529479.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,56,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,5977.0,False,,False,9489649.0,,9489649.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,231,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1.0,False,,False,45677.0,,45677.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,428,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,38.0,False,,False,20757.0,,20757.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,440,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1.0,False,,False,5472.0,,5472.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,512,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,2.0,False,,False,1641.0,,1641.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,703,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,3.0,False,,False,475.0,,475.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,704,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,191.0,False,,False,6866479.0,,6866479.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,710,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,7.0,False,,False,34298.0,,34298.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,752,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1853.0,False,,False,2373659.0,,2373659.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,792,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1.0,False,,False,77.0,,77.0,0,False,True
C,A,20170101,2017,52,2017,156,,,M,,842,,,36,,,H5,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,39.247,True,,False,133498.0,,133498.0,0,False,True
